ingredient,df_category,df_cat_sum,ingredient_sum,df_cat_percentage,df_cat_count
Polysaccharide iron complex,oral,0.49,0.49,100,1
Polyvinyl Alcohol,ophtalmic,0,0,NaN,1
pomalidomide,oral,0.01,0.01,100,1
ponatinib,oral,0,0,NaN,1
posaconazole,oral,0.02,0.02,100,1
potassium bicarbonate,Effervescent Oral Tablet,0.04,0.04,100,2
potassium bicarbonate,oral,0,0.04,0,2
Potassium Chloride,oral,21.59,22.76,94.8594024604569,3
Potassium Chloride,injection,1.17,22.76,5.14059753954306,3
Potassium Chloride,Effervescent Oral Tablet,0,22.76,0,3
potassium citrate,oral,0.74,0.74,100,1
Potassium Iodide,oral,0.29,0.29,100,1
potassium nitrate,Toothpaste,0.62,0.63,98.4126984126984,2
potassium nitrate,topical,0.01,0.63,1.58730158730159,2
potassium phosphate,oral,0.1,0.1,100,1
potassium sulfate,oral,6.69,6.69,100,1
Povidone,ophtalmic,0,0,NaN,1
Povidone-Iodine,ophtalmic,0,0,NaN,1
Pramipexole,oral,1.49,1.49,100,1
pramoxine,rectal,1.43,1.7,84.1176470588235,3
pramoxine,topical,0.23,1.7,13.5294117647059,3
pramoxine,otic,0.04,1.7,2.35294117647059,3
prasugrel,oral,0.8,0.8,100,1
Pravastatin,oral,14.67,14.67,100,1
Praziquantel,oral,0.02,0.02,100,1
Prazosin,oral,0.48,0.48,100,1
prednicarbate,topical,0.05,0.05,100,1
prednisolone,oral,11.99,17.54,68.3580387685291,2
prednisolone,ophtalmic,5.55,17.54,31.6419612314709,2
Prednisone,oral,66.5,66.5,100,1
pregabalin,oral,4.35,4.35,100,1
Prilocaine,topical,1.69,1.69,100,1
Primaquine,oral,0.01,0.01,100,1
Primidone,oral,0.33,0.33,100,1
Probenecid,oral,0.18,0.18,100,1
Procarbazine,oral,0,0,NaN,1
Prochlorperazine,oral,2.02,2.18,92.6605504587156,2
Prochlorperazine,rectal,0.16,2.18,7.3394495412844,2
Progesterone,oral,4.03,4.59,87.7995642701525,3
Progesterone,injection,0.33,4.59,7.18954248366013,3
Progesterone,vaginal,0.23,4.59,5.01089324618736,3
Proguanil,oral,2.03,2.03,100,1
Promazine,injection,0.03,0.03,100,1
Promethazine,oral,31.7,40.42,78.426521523998,3
Promethazine,injection,7.26,40.42,17.9614052449283,3
Promethazine,rectal,1.46,40.42,3.61207323107373,3
Propafenone,oral,0.29,0.29,100,1
Propantheline,oral,0.02,0.02,100,1
proparacaine,ophtalmic,0,0,NaN,1
Propofol,injection,0,0,NaN,1
Propranolol,oral,6.12,6.12,100,1
Propylthiouracil,oral,0.11,0.11,100,1
Protamines,injection,0.18,0.18,100,1
Protriptyline,oral,0.04,0.04,100,1
Pseudoephedrine,oral,9.06,9.06,100,1
Purified Protein Derivative of Tuberculin,injection,0,0,NaN,1
Pyrazinamide,oral,0.01,0.01,100,1
Pyridostigmine,oral,0.16,0.16,100,1
pyridoxine,oral,1.08,1.08,100,1
Pyrilamine,oral,0,0,NaN,1
Pyrimethamine,oral,0,0,NaN,1
quetiapine,oral,5.3,5.3,100,1
quinapril,oral,1.64,1.64,100,1
Quinidine,oral,0.04,0.04,100,1
Quinine,oral,0.04,0.04,100,1
rabeprazole,oral,1.05,1.05,100,1
rabies virus vaccine flury-lep strain,injection,0,0,NaN,1
"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated",injection,0,0,NaN,1
Raloxifene,oral,1.31,1.31,100,1
raltegravir,oral,0.25,0.25,100,1
ramelteon,oral,0.11,0.11,100,1
Ramipril,oral,3.2,3.2,100,1
ranibizumab,injection,0.01,0.01,100,1
Ranitidine,oral,9.69,10.39,93.2627526467757,2
Ranitidine,injection,0.7,10.39,6.73724735322425,2
ranolazine,oral,0.43,0.43,100,1
rasagiline,oral,0.12,0.12,100,1
regorafenib,oral,0.01,0.01,100,1
"Regular Insulin, Human",injection,0.79,0.79,100,1
repaglinide,oral,0.23,0.23,100,1
retapamulin,topical,0.06,0.06,100,1
Rho(D) Immune Globulin,injection,1.07,1.07,100,1
Ribavirin,oral,0.21,0.21,100,1
Riboflavin,oral,3.4,3.4,100,2
Riboflavin,injection,0,3.4,0,2
Rifabutin,oral,0.01,0.01,100,1
Rifampin,oral,0.34,0.34,100,1
rifapentine,oral,0.01,0.01,100,1
rifaximin,oral,0.48,0.48,100,1
Rilpivirine,oral,0.14,0.14,100,1
Riluzole,oral,0.02,0.02,100,1
rimabotulinumtoxinB,injection,0,0,NaN,1
Rimantadine,oral,0.01,0.01,100,1
rimexolone,ophtalmic,0.01,0.01,100,1
riociguat,oral,0.01,0.01,100,1
Risedronate,oral,0.73,0.73,100,1
Risperidone,oral,2.51,2.52,99.6031746031746,2
Risperidone,injection,0.01,2.52,0.396825396825397,2
Ritonavir,oral,0.4,0.4,100,1
rituximab,injection,0.01,0.01,100,1
rivaroxaban,oral,2.65,2.65,100,1
rivastigmine,transdermal,0.05,0.06,83.3333333333333,2
rivastigmine,oral,0.01,0.06,16.6666666666667,2
rizatriptan,oral,4.13,4.13,100,1
Roflumilast,oral,0.09,0.09,100,1
ropinirole,oral,2.16,2.16,100,1
rosiglitazone,oral,0,0,NaN,1
rosuvastatin,oral,12.49,12.49,100,1
Rotigotine,transdermal,0.1,0.1,100,1
Rubella Virus Vaccine Live (Wistar RA 27-3 Strain),injection,0.05,0.05,100,1
rufinamide,oral,0.03,0.03,100,1
ruxolitinib,oral,0.01,0.01,100,1
Saccharomyces boulardii,oral,0,0,NaN,1
Saccharomyces boulardii lyo,oral,0,0,NaN,1
Sacrosidase,oral,0,0,NaN,1
Salicylic Acid,topical,0.51,0.61,83.6065573770492,2
Salicylic Acid,Medicated Shampoo,0.1,0.61,16.3934426229508,2
salmon calcitonin,nasal,0.13,0.13,100,1
Salsalate,oral,0.09,0.09,100,1
Sapropterin,oral,0.01,0.01,100,1
Saquinavir,oral,0,0,NaN,1
sargramostim,injection,0,0,NaN,1
saxagliptin,oral,1.35,1.35,100,1
Scopolamine,transdermal,2.94,3.25,90.4615384615385,2
Scopolamine,oral,0.31,3.25,9.53846153846154,2
Selegiline,oral,0.03,0.06,50,2
Selegiline,transdermal,0.03,0.06,50,2
selenium sulfide,Medicated Shampoo,0.74,0.75,98.6666666666667,2
selenium sulfide,topical,0.01,0.75,1.33333333333333,2
"sennosides, USP",oral,0.04,0.04,100,1
sertaconazole,topical,0.05,0.05,100,1
Sertraline,oral,26.5,26.5,100,1
sevelamer,oral,0.3,0.3,100,1
short ragweed pollen extract,Sublingual Tablet,0,0,NaN,1
sildenafil,oral,6.29,6.29,100,1
silodosin,oral,0.42,0.42,100,1
Silver Nitrate,topical,0.01,0.01,100,1
Silver Sulfadiazine,topical,2.35,2.35,100,1
simeprevir,oral,0.07,0.07,100,1
Simethicone,oral,0.31,0.31,100,1
Simvastatin,oral,30.04,30.04,100,1
Sinecatechins,topical,0.1,0.1,100,1
sipuleucel-T,injection,0,0,NaN,1
Sirolimus,oral,0.16,0.16,100,1
sitagliptin,oral,6.06,6.06,100,1
Sodium Ascorbate,oral,3.74,3.74,100,1
Sodium Bicarbonate,oral,7.38,7.42,99.4609164420485,2
Sodium Bicarbonate,injection,0.04,7.42,0.539083557951483,2
Sodium Chloride,oral,10.69,11.26,94.9378330373002,5
Sodium Chloride,inhalant,0.34,11.26,3.01953818827709,5
Sodium Chloride,Irrigation Solution,0.17,11.26,1.50976909413854,5
Sodium Chloride,injection,0.05,11.26,0.44404973357016,5
Sodium Chloride,nasal,0.01,11.26,0.088809946714032,5
sodium citrate,oral,0.04,0.04,100,1
Sodium ferric gluconate complex,injection,0.17,0.17,100,1
Sodium Fluoride,oral,5.88,9.59,61.3138686131387,2
Sodium Fluoride,Toothpaste,3.71,9.59,38.6861313868613,2
Sodium Oxybate,oral,0.07,0.07,100,1
sodium phosphate,oral,0.35,0.35,100,1
"Sodium Phosphate, Dibasic",oral,0.09,0.09,100,1
"Sodium Phosphate, Monobasic",oral,0.71,0.71,100,1
Sodium polystyrene sulfonate,oral,0.14,0.14,100,1
sodium sulfate,oral,14.14,14.14,100,1
sofosbuvir,oral,0.28,0.28,100,1
Solifenacin,oral,1.41,1.41,100,1
Somatropin,injection,0.06,0.06,100,1
sorafenib,oral,0.02,0.02,100,1
Sorbitol,oral,0,0,NaN,1
Sotalol,oral,0.49,0.49,100,1
Soybean Oil,injection,0,0,NaN,1
spinosad,Medicated Shampoo,0.09,0.09,100,1
Spironolactone,oral,7.09,7.09,100,1
Stannous Fluoride,oral,0.01,0.01,100,1
Stavudine,oral,0,0,NaN,1
Succimer,oral,0,0,NaN,1
Succinic Acid,oral,0.21,0.21,100,1
Succinylcholine,injection,4.88,4.88,100,1
Sucralfate,oral,3.6,3.6,100,1
sucroferric oxyhydroxide,oral,0.01,0.01,100,1
sulconazole,topical,0.02,0.02,100,1
Sulfacetamide,Medicated Liquid Soap,2,4.47,44.7427293064877,4
Sulfacetamide,ophtalmic,1.42,4.47,31.7673378076063,4
Sulfacetamide,topical,1.02,4.47,22.8187919463087,4
Sulfacetamide,Medicated Shampoo,0.03,4.47,0.671140939597315,4
Sulfadiazine,oral,0,0,NaN,1
Sulfamethoxazole,oral,37.82,37.82,100,2
Sulfamethoxazole,injection,0,37.82,0,2
Sulfanilamide,vaginal,0.01,0.01,100,1
Sulfasalazine,oral,0.86,0.86,100,1
Sulfisoxazole,oral,0.01,0.01,100,1
SULFONATED PHENOL,topical,0.01,0.01,100,1
Sulfur,Medicated Liquid Soap,1.75,2.22,78.8288288288288,2
Sulfur,topical,0.47,2.22,21.1711711711712,2
Sulfuric acid,topical,0.01,0.01,100,1
Sulindac,oral,0.51,0.51,100,1
Sumatriptan,oral,9.91,10.34,95.8413926499033,3
Sumatriptan,nasal,0.41,10.34,3.96518375241779,3
Sumatriptan,injection,0.02,10.34,0.193423597678917,3
sunitinib,oral,0.02,0.02,100,1
"synthetic conjugated estrogens, A",oral,0.12,0.12,100,1
"synthetic conjugated estrogens, B",oral,0.15,0.15,100,1
Tacrolimus,topical,0.93,1.82,51.0989010989011,2
Tacrolimus,oral,0.89,1.82,48.9010989010989,2
tadalafil,oral,5.63,5.63,100,1
tafluprost,ophtalmic,0.06,0.06,100,1
Tamoxifen,oral,1.25,1.25,100,1
tamsulosin,oral,8.44,8.44,100,1
tapentadol,oral,0.82,0.82,100,1
tavaborole,topical,0.05,0.05,100,1
tazarotene,topical,1.48,1.48,100,1
tazobactam,injection,0,0,NaN,1
tedizolid,oral,0,0,NaN,1
telaprevir,oral,0,0,NaN,1
telmisartan,oral,1.54,1.54,100,1
Temazepam,oral,3.24,3.24,100,1
temozolomide,oral,0.14,0.14,100,1
tenofovir disoproxil,oral,1.55,1.55,100,1
Terazosin,oral,0.81,0.81,100,1
terbinafine,oral,3.43,3.45,99.4202898550725,3
terbinafine,topical,0.01,3.45,0.289855072463768,3
terbinafine,Oral Granules,0.01,3.45,0.289855072463768,3
Terbutaline,injection,0.31,0.34,91.1764705882353,2
Terbutaline,oral,0.03,0.34,8.82352941176471,2
terconazole,vaginal,3.29,3.29,100,1
teriflunomide,oral,0.05,0.05,100,1
tesamorelin,injection,0,0,NaN,1
Testosterone,topical,5.74,10.07,57.0009930486594,5
Testosterone,injection,3.74,10.07,37.1400198609732,5
Testosterone,Drug Implant,0.34,10.07,3.37636544190665,5
Testosterone,transdermal,0.25,10.07,2.48262164846077,5
Testosterone,Buccal Film,0,10.07,0,5
"tetanus toxoid vaccine, inactivated",injection,0.4,0.4,100,1
Tetrabenazine,oral,0.01,0.01,100,1
Tetracaine,topical,0.02,0.04,50,3
Tetracaine,ophtalmic,0.02,0.04,50,3
Tetracaine,transdermal,0,0.04,0,3
Tetracycline,oral,0.37,0.37,100,1
Tetrahydrocannabinol,oral,0.21,0.21,100,1
Thalidomide,oral,0.01,0.01,100,1
Theophylline,oral,0.28,0.28,100,1
Thiamine,oral,3.39,3.39,100,2
Thiamine,injection,0,3.39,0,2
Thioguanine,oral,0.01,0.01,100,1
Thioridazine,oral,0.01,0.01,100,1
Thiothixene,oral,0.03,0.03,100,1
THONZONIUM,otic,0.17,0.17,100,1
thyroid (USP),oral,4.44,4.44,100,1
thyrotropin alfa (USP),injection,0.04,0.04,100,1
tiagabine,oral,0.02,0.02,100,1
Ticagrelor,oral,0.3,0.3,100,1
Ticarcillin,injection,0,0,NaN,1
Ticlopidine,oral,0,0,NaN,1
Timolol,ophtalmic,2.37,2.4,98.75,2
Timolol,oral,0.03,2.4,1.25,2
Timothy grass pollen extract,Sublingual Tablet,0,0,NaN,1
Tinidazole,oral,0.7,0.7,100,1
tiopronin,oral,0,0,NaN,1
tiotropium,inhalant,1.8,1.8,100,1
tipranavir,oral,0,0,NaN,1
tirofiban,injection,0,0,NaN,1
tizanidine,oral,6.26,6.26,100,1
Tobramycin,ophtalmic,10.27,10.49,97.9027645376549,3
Tobramycin,injection,0.16,10.49,1.52526215443279,3
Tobramycin,inhalant,0.06,10.49,0.571973307912297,3
tocilizumab,injection,0.01,0.01,100,1
tofacitinib,oral,0.09,0.09,100,1
Tolmetin,oral,0.01,0.01,100,1
tolterodine,oral,1.02,1.02,100,1
tolvaptan,oral,0,0,NaN,1
topiramate,oral,10.29,10.29,100,1
Topotecan,oral,0,0,NaN,1
Toremifene,oral,0.01,0.01,100,1
torsemide,oral,0.51,0.51,100,1
Tramadol,oral,31.3,31.3,100,1
trametinib,oral,0.01,0.01,100,1
trandolapril,oral,0.2,0.2,100,1
Tranexamic Acid,oral,0.62,0.62,100,1
Tranylcypromine,oral,0.02,0.02,100,1
trastuzumab,injection,0,0,NaN,1
travoprost,ophtalmic,0.76,0.76,100,1
Trazodone,oral,13.19,13.19,100,1
Treprostinil,inhalant,0,0,NaN,1
Tretinoin,topical,8.78,8.79,99.8862343572241,2
Tretinoin,oral,0.01,8.79,0.113765642775882,2
Triamcinolone,injection,28.91,55.17,52.4016675729563,3
Triamcinolone,topical,25.15,55.17,45.5863694036614,3
Triamcinolone,oral,1.11,55.17,2.01196302338227,3
Triamterene,oral,7.08,7.08,100,1
Triazolam,oral,1.51,1.51,100,1
tricalcium phosphate,oral,0.04,0.04,100,1
Trientine,oral,0,0,NaN,1
Trifluoperazine,oral,0.02,0.02,100,1
Trifluridine,ophtalmic,0.1,0.1,100,1
Trihexyphenidyl,oral,0.09,0.09,100,1
Triiodothyronine,oral,1.77,1.77,100,1
trimethobenzamide,oral,0.12,0.12,100,1
Trimethoprim,oral,38.05,43.9,86.6742596810934,3
Trimethoprim,ophtalmic,5.85,43.9,13.3257403189066,3
Trimethoprim,injection,0,43.9,0,3
Triptorelin,injection,0,0,NaN,1
Tropicamide,ophtalmic,0.02,0.02,100,1
Trospium,oral,0.16,0.16,100,1
TRYPSIN,topical,0.03,0.03,100,1
Typhoid Vaccine Live Ty21a,oral,0.57,0.57,100,1
"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain",injection,0.02,0.02,100,1
ulipristal,oral,0.02,0.02,100,1
Urea,topical,1.13,1.13,100,1
Urofollitropin,injection,0.03,0.03,100,1
Ursodeoxycholate,oral,0.66,0.66,100,1
valacyclovir,oral,20.45,20.45,100,1
valganciclovir,oral,0.12,0.12,100,1
Valproate,oral,3.04,3.04,100,1
valsartan,oral,13.52,13.52,100,1
Vancomycin,oral,0.25,0.31,80.6451612903226,2
Vancomycin,injection,0.06,0.31,19.3548387096774,2
vardenafil,oral,0.87,0.87,100,1
varenicline,oral,5.96,5.96,100,1
Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain,injection,3,3,100,1
vedolizumab,injection,0,0,NaN,1
Vemurafenib,oral,0,0,NaN,1
venlafaxine,oral,14.19,14.19,100,1
Verapamil,oral,3.09,3.09,100,1
Vigabatrin,oral,0,0,NaN,1
vilazodone,oral,1.32,1.32,100,1
Vinblastine,injection,0.04,0.04,100,1
Vincristine,injection,0.14,0.14,100,1
vinorelbine,injection,0.03,0.03,100,1
vismodegib,oral,0,0,NaN,1
Vitamin A,oral,3.34,3.34,100,1
Vitamin B 12,oral,4.45,7.14,62.3249299719888,3
Vitamin B 12,injection,2.5,7.14,35.0140056022409,3
Vitamin B 12,nasal,0.19,7.14,2.66106442577031,3
Vitamin B Complex,oral,0,0,NaN,1
Vitamin B6,oral,3.26,3.26,100,2
Vitamin B6,injection,0,3.26,0,2
Vitamin D,oral,2.11,2.11,100,1
Vitamin E,oral,3.15,3.15,100,1
Vitamin K 1,oral,0.24,0.24,100,2
Vitamin K 1,injection,0,0.24,0,2
von Willebrand factor,injection,0,0,NaN,1
voriconazole,oral,0.07,0.07,100,1
Vorinostat,oral,0,0,NaN,1
vortioxetine,oral,0.52,0.52,100,1
Warfarin,oral,6.13,6.13,100,1
Water,injection,0.04,0.06,66.6666666666667,2
Water,Irrigation Solution,0.02,0.06,33.3333333333333,2
Xylitol,oral,0.04,0.04,100,1
"Yellow-Fever Virus Vaccine, 17D-204 strain",injection,0.03,0.03,100,1
zafirlukast,oral,0.2,0.2,100,1
zaleplon,oral,0.78,0.78,100,1
Zidovudine,oral,0.09,0.09,100,2
Zidovudine,injection,0,0.09,0,2
zileuton,oral,0.03,0.03,100,1
Zinc Acetate,otic,0.01,0.01,100,2
Zinc Acetate,topical,0,0.01,0,2
Zinc Oxide,oral,0.4,0.47,85.1063829787234,2
Zinc Oxide,topical,0.07,0.47,14.8936170212766,2
Zinc Sulfate,oral,0.07,0.07,100,1
ziprasidone,oral,0.75,0.75,100,1
zoledronic acid,injection,0.02,0.02,100,1
zolmitriptan,oral,0.76,0.92,82.6086956521739,2
zolmitriptan,nasal,0.16,0.92,17.3913043478261,2
zolpidem,oral,22.98,23.06,99.6530789245447,3
zolpidem,Sublingual Tablet,0.08,23.06,0.346921075455334,3
zolpidem,Oral Spray,0,23.06,0,3
zonisamide,oral,0.65,0.65,100,1
